Datetime,Voltage,Pressure,Solar Radiation,Air Temperature,Relative Humidity,Wind Speed,Gust Speed,Wind Direction,Rain
7/5/23 12:15,-0.00023,746.45,955.6,15.606,29.517,0.33,2.34,271,0
7/5/23 12:30,-0.00023,746.45,970.6,13.504,33.811,0.67,2,203.6,0
7/5/23 12:45,-0.00023,746.45,973.1,14.941,30.652,0.67,2.34,235.9,0
7/5/23 13:00,-0.00023,746.55,969.4,15.049,29.688,0.67,2.34,268.1,0
7/5/23 13:15,-0.00023,746.55,974.4,16.593,26.876,0.33,2,206.4,0
7/5/23 13:30,-0.00023,746.55,964.4,16.915,27.376,0.33,1.67,300.4,0
7/5/23 13:45,-0.00023,746.45,955.6,15.842,27.228,0.67,1.67,238.7,0
7/5/23 14:00,-0.00023,746.55,940.6,14.92,26.917,1,5.01,327.1,0
7/5/23 14:15,-0.00023,746.85,925.6,16.357,24.546,1.34,3.67,313.1,0
7/5/23 14:30,-0.00023,746.65,908.1,16.057,25.035,2,6.35,317.3,0
7/5/23 14:45,-0.00023,746.65,883.1,17.043,23.827,1.67,4.01,220.4,0
7/5/23 15:00,-0.00023,746.55,861.9,15.971,25.855,1.67,5.68,349.6,0
7/5/23 15:15,-0.00023,746.75,830.6,15.177,28.109,2.34,6.01,355.2,0
7/5/23 15:30,-0.00023,746.65,803.1,16.421,25.866,1.67,4.34,63.2,0
7/5/23 15:45,-0.00023,746.65,774.4,16.035,26.651,1,2.67,335.5,0
7/5/23 16:00,-0.00023,746.65,743.1,16.1,26.589,1.34,4.01,338.3,0
7/5/23 16:15,-0.00023,746.55,705.6,14.277,29.609,2.34,6.35,349.6,0
7/5/23 16:30,-0.00023,746.55,669.4,15.949,26.944,2.34,8.02,335.5,0
7/5/23 16:45,-0.00023,746.65,630.6,15.37,29.61,2.34,5.68,351,0
7/5/23 17:00,-0.00023,746.45,593.1,15.756,29.532,2.34,7.01,353.8,0
7/5/23 17:15,-0.00023,746.45,550.6,14.598,33.126,1.67,5.34,355.2,0
7/5/23 17:30,-0.00023,746.45,503.1,14.684,34.092,2.34,5.68,352.4,0
7/5/23 17:45,-0.00023,746.25,459.4,14.105,35.854,3.01,9.02,344,0
7/5/23 18:00,-0.00023,746.15,416.9,13.59,37.47,4.01,9.68,355.2,0
7/5/23 18:15,-0.00023,746.15,373.1,13.59,38.328,4.34,8.68,349.6,0
7/5/23 18:30,-0.00023,746.25,328.1,13.569,38.882,3.67,9.35,346.8,0
7/5/23 18:45,-0.00023,746.15,281.9,13.29,40.259,3.01,6.68,342.6,0
7/5/23 19:00,-0.00023,745.95,26.9,13.161,41.372,2,5.01,322.9,0
7/5/23 19:15,-0.00023,746.05,25.6,12.861,41.814,2.67,5.68,310.3,0
7/5/23 19:30,-0.00023,745.95,23.1,12.518,43.45,2.67,5.68,311.7,0
7/5/23 19:45,-0.00023,745.85,20.6,12.325,44.314,2.67,6.01,328.5,0
7/5/23 20:00,-0.00023,745.95,15.6,12.153,45.226,2.67,5.68,296.2,0
7/5/23 20:15,-0.00023,745.95,13.1,11.853,46.261,3.34,7.35,280.8,0
7/5/23 20:30,-0.00023,745.85,9.4,11.167,48.472,2.34,6.01,294.8,0
7/5/23 20:45,-0.00023,745.75,4.4,10.63,49.401,2.67,6.35,306.1,0
7/5/23 21:00,-0.00023,745.85,0.6,10.802,48.824,3.34,6.35,327.1,0
7/5/23 21:15,-0.00023,745.95,0.6,11.51,37.496,3.34,5.34,321.5,0
7/5/23 21:30,-0.00023,746.05,0.6,12.025,31.211,2.67,5.68,332.7,0
7/5/23 21:45,-0.00023,746.05,0.6,11.767,32.593,1.34,4.68,331.3,0
7/5/23 22:00,-0.00023,746.05,0.6,10.416,39.329,1.34,3.01,266.7,0
7/5/23 22:15,-0.00023,746.25,0.6,10.759,34.287,1.34,2.34,273.8,0
