date,time,air_temp
20220612,0610,11.7
20220612,0615,11.3
20220612,0620,11.1
20220612,0625,11.1
20220612,0630,11.3
20220612,0635,11.3
20220612,0640,11.1
20220612,0645,11.2
20220612,0650,11.5
20220612,0655,11.5
20220612,0700,11.6
20220612,0705,11.7
20220612,0710,11.7
20220612,0715,11.7
20220612,0720,11.9
20220612,0725,11.9
20220612,0730,11.9
20220612,0735,12
20220612,0740,12
20220612,0745,12.1
20220612,0750,12.1
20220612,0755,12
20220612,0800,12
20220612,0805,12.3
20220612,0810,12.4
20220612,0815,12.4
20220612,0820,12.3
20220612,0825,12.3
20220612,0830,12.3
20220612,0835,12.1
20220612,0840,12.1
20220612,0845,12
20220612,0850,12
20220612,0855,11.9
20220612,0900,11.8
20220612,0905,11.8
20220612,0910,11.7
20220612,0915,11.7
20220612,0920,11.9
20220612,0925,12
20220612,0930,12
20220612,0935,12
20220612,0940,12
20220612,0945,12.1
20220612,0950,12.2
20220612,0955,12.2
20220612,1000,12.1
20220612,1005,12.2
20220612,1010,12.4
20220612,1015,12.4
20220612,1020,12.4
20220612,1025,12.4
20220612,1030,12.4
20220612,1035,12.1
20220612,1040,12
20220612,1045,12.2
20220612,1050,12.1
20220612,1055,12
20220612,1100,12
20220612,1105,12.2
20220612,1110,12.3
20220612,1115,12.3
20220612,1120,12
20220612,1125,12
20220612,1130,11.9
20220612,1135,11.9
20220612,1140,11.9
20220612,1145,11.8
20220612,1150,11.8
20220612,1155,11.8
20220612,1200,11.8
20220612,1205,11.8
20220612,1210,11.8
20220612,1215,11.8
20220612,1220,11.8
20220612,1225,11.9
20220612,1230,11.9
20220612,1235,11.9
20220612,1240,11.8
20220612,1245,11.8
20220612,1250,11.9
20220612,1255,11.9
20220612,1300,11.9
20220612,1305,11.9
20220612,1310,12
20220612,1315,11.9
20220612,1320,12
20220612,1325,12.1
20220612,1330,12
20220612,1335,12.1
20220612,1340,12.1
20220612,1345,12.1
20220612,1350,12.1
20220612,1355,12.1
20220612,1400,11.9
20220612,1405,11.9
20220612,1410,11.9
20220612,1415,11.9
20220612,1420,11.9
20220612,1425,11.9
20220612,1430,11.8
20220612,1435,11.7
20220612,1440,11.7
20220612,1445,11.7
20220612,1450,11.7
20220612,1455,11.6
20220612,1500,11.6
20220612,1505,11.5
20220612,1510,11.4
20220612,1515,11.3
20220612,1520,11.3
20220612,1525,11.3
20220612,1530,11.3
20220612,1535,11.3
20220612,1540,11.2
20220612,1545,11.2
20220612,1550,11.1
20220612,1555,11.1
20220612,1600,11.1
20220612,1605,11.1
20220612,1610,11.1
20220612,1615,11.1
20220612,1620,11.1
20220612,1625,11
20220612,1630,11.1
20220612,1635,11
20220612,1640,11
20220612,1645,10.9
20220612,1650,11
20220612,1655,11.1
20220612,1700,11.1
20220612,1705,11
20220612,1710,11
20220612,1715,11.2
20220612,1720,11.4
20220612,1725,11.3
20220612,1730,11.3
20220612,1735,11.3
20220612,1740,11.5
20220612,1745,11.4
20220612,1750,11.7
20220612,1755,11.9
20220612,1800,11.6
20220612,1805,12.2
20220612,1810,11.9
20220612,1815,12.2
20220612,1820,12.7
20220612,1825,13
20220612,1830,12.8
20220612,1835,13
20220612,1840,12.9
20220612,1845,12.5
20220612,1850,12.6
20220612,1855,12.6
20220612,1900,12.4
20220612,1905,12.4
20220612,1910,12.6
20220612,1915,12.6
20220612,1920,12.7
20220612,1925,12.7
20220612,1930,12.7
20220612,1935,12.5
20220612,1940,12.8
20220612,1945,12.7
20220612,1950,12.7
20220612,1955,12.6
20220612,2000,12.3
20220612,2005,12.2
20220612,2010,12.3
20220612,2015,12.2
20220612,2020,12.2
20220612,2025,12.2
20220612,2030,12
20220612,2035,12.1
20220612,2040,12.2
20220612,2045,12.3
20220612,2050,12.4
20220612,2055,12.5
20220612,2100,12.6
20220612,2105,12.9
20220612,2110,12.7
20220612,2115,12.8
20220612,2120,13.2
20220612,2125,13
20220612,2130,13
20220612,2135,13.2
20220612,2140,13.1
20220612,2145,13.5
20220612,2150,13.5
20220612,2155,13.5
20220612,2200,13.7
20220612,2205,13.1
20220612,2210,13.2
20220612,2215,13.4
20220612,2220,13.7
