Region Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NW,5/22/2022 10 p.m. PDT,4337,26,19418,824,60,6112,6958,1152
NW,5/22/2022 11 p.m. PDT,4258,1,18309,798,54,5862,6734,1152
NW,5/23/2022 12 a.m. PDT,4359,3,17230,803,60,5466,6594,1151
NW,5/23/2022 1 a.m. PDT,5305,2,17002,806,61,5123,8538,1154
NW,5/23/2022 2 a.m. PDT,5195,3,16985,825,62,4977,8517,1155
NW,5/23/2022 3 a.m. PDT,5114,3,16873,872,61,4889,8563,1155
NW,5/23/2022 4 a.m. PDT,5434,1,16855,894,60,4902,8456,1156
NW,5/23/2022 5 a.m. PDT,5972,3,17404,845,60,5064,8486,1157
NW,5/23/2022 6 a.m. PDT,6208,149,19095,849,60,5210,8422,1157
NW,5/23/2022 7 a.m. PDT,6171,1420,19554,866,60,4849,8657,1156
NW,5/23/2022 8 a.m. PDT,5675,3198,19586,944,59,4047,8484,1155
NW,5/23/2022 9 a.m. PDT,5528,3939,19060,930,59,3524,8430,1155
NW,5/23/2022 10 a.m. PDT,5520,4337,19059,945,60,3119,8444,1152
NW,5/23/2022 11 a.m. PDT,5648,4681,18568,926,58,2994,8697,1152
NW,5/23/2022 12 p.m. PDT,5313,4780,17879,855,59,3725,8815,1149
NW,5/23/2022 1 p.m. PDT,5197,4664,17534,858,58,4086,8909,1149
NW,5/23/2022 2 p.m. PDT,5679,4515,17085,844,58,4277,8947,1144
NW,5/23/2022 3 p.m. PDT,6200,4453,16694,832,57,4557,8889,1144
NW,5/23/2022 4 p.m. PDT,6705,4348,16687,820,58,5212,9189,1144
NW,5/23/2022 5 p.m. PDT,7287,4119,17253,807,59,5833,9645,1142
NW,5/23/2022 6 p.m. PDT,7263,3607,18446,793,58,6592,9784,1143
NW,5/23/2022 7 p.m. PDT,7163,1938,19323,830,61,7580,9922,1141
NW,5/23/2022 8 p.m. PDT,6578,349,19723,832,55,8065,10021,1141
NW,5/23/2022 9 p.m. PDT,6544,30,19348,832,59,8284,9840,1145
NW,5/23/2022 10 p.m. PDT,6046,23,19116,822,59,8138,9645,1146
NW,5/23/2022 11 p.m. PDT,4901,-2,18552,797,60,7796,9468,1148
NW,5/24/2022 12 a.m. PDT,3410,-3,17735,823,61,7420,9390,1148
NW,5/24/2022 1 a.m. PDT,2663,-2,17146,895,62,7151,9364,1151
NW,5/24/2022 2 a.m. PDT,2049,-1,16767,842,60,6961,9198,1151
NW,5/24/2022 3 a.m. PDT,2043,-3,16558,851,61,6668,9210,1154
NW,5/24/2022 4 a.m. PDT,2158,-5,16681,847,59,6503,9271,1155
NW,5/24/2022 5 a.m. PDT,2194,-3,17628,855,61,6842,9351,1165
NW,5/24/2022 6 a.m. PDT,2309,159,18899,865,61,7125,9399,1166
NW,5/24/2022 7 a.m. PDT,2007,1854,20023,870,58,6731,9419,1167
NW,5/24/2022 8 a.m. PDT,1831,3758,20512,862,58,5580,9356,1165
NW,5/24/2022 9 a.m. PDT,1834,4381,20076,858,58,5481,9382,1163
NW,5/24/2022 10 a.m. PDT,1748,4540,19538,853,58,5207,9402,1161
NW,5/24/2022 11 a.m. PDT,1866,4668,19188,892,58,4989,9429,1161
NW,5/24/2022 12 p.m. PDT,2195,4772,18929,928,58,4850,9447,1159
NW,5/24/2022 1 p.m. PDT,2503,4617,18543,917,58,5285,9498,1158
NW,5/24/2022 2 p.m. PDT,2680,4602,18617,892,59,5378,9531,1158
NW,5/24/2022 3 p.m. PDT,3058,4656,18285,832,59,5643,9602,1158
NW,5/24/2022 4 p.m. PDT,2979,4530,18503,799,57,6557,9494,1157
NW,5/24/2022 5 p.m. PDT,2944,4527,18754,809,59,7094,9527,1158
NW,5/24/2022 6 p.m. PDT,3775,3934,19765,794,59,7456,9379,1158
NW,5/24/2022 7 p.m. PDT,3972,2024,19789,897,59,8609,9467,1157
NW,5/24/2022 8 p.m. PDT,3610,299,19640,921,61,9339,9519,1156
NW,5/24/2022 9 p.m. PDT,3548,23,19571,937,61,9266,9567,1153
NW,5/24/2022 10 p.m. PDT,3664,22,19506,941,58,8848,9520,1149
NW,5/24/2022 11 p.m. PDT,3694,-2,18476,896,61,7723,9321,1147
NW,5/25/2022 12 a.m. PDT,3772,-2,17407,908,62,6826,9276,1149
NW,5/25/2022 1 a.m. PDT,4008,-2,16576,853,61,6154,9300,1149
NW,5/25/2022 2 a.m. PDT,4961,-1,16216,856,61,5462,8976,1153
NW,5/25/2022 3 a.m. PDT,5561,-3,16049,858,60,5272,8617,1152
NW,5/25/2022 4 a.m. PDT,5601,-2,16222,870,61,5232,8599,1146
NW,5/25/2022 5 a.m. PDT,5925,-2,16940,876,61,5202,8683,1148
NW,5/25/2022 6 a.m. PDT,6115,337,17617,884,60,5277,8667,1149
NW,5/25/2022 7 a.m. PDT,5772,2327,19086,884,58,5148,8394,1147
NW,5/25/2022 8 a.m. PDT,5836,4280,19840,879,58,4051,8323,1148
NW,5/25/2022 9 a.m. PDT,6854,4801,19949,872,58,3746,7985,1145
NW,5/25/2022 10 a.m. PDT,7339,4937,19530,871,58,3455,7811,1140
NW,5/25/2022 11 a.m. PDT,8250,4979,18682,804,58,3613,7533,1136
NW,5/25/2022 12 p.m. PDT,8299,5006,18409,793,56,3884,7794,1137
NW,5/25/2022 1 p.m. PDT,8461,5051,17849,772,56,4396,7852,1133
NW,5/25/2022 2 p.m. PDT,8369,5015,17701,752,55,5262,7954,1133
NW,5/25/2022 3 p.m. PDT,8827,5025,17747,748,56,5648,8132,1134
NW,5/25/2022 4 p.m. PDT,8783,5084,17984,765,58,5936,8091,1133
NW,5/25/2022 5 p.m. PDT,8315,4750,18016,794,58,6470,7992,1133
NW,5/25/2022 6 p.m. PDT,7306,4114,19415,804,58,6530,8184,1133
NW,5/25/2022 7 p.m. PDT,5664,2076,20238,796,59,8065,8879,1133
NW,5/25/2022 8 p.m. PDT,4038,281,20912,777,61,9620,9684,1134
NW,5/25/2022 9 p.m. PDT,2806,4,20993,825,61,9623,9960,1137
NW,5/25/2022 10 p.m. PDT,2322,-2,20843,852,60,9210,10047,1138
