"zip","population","city","county"
"97357",163,"Logsden","Lincoln County"
"97735",157,"Fort Rock","Lake County"
"97134",144,"Oceanside","Tillamook County"
"97732",142,"Crane","Harney County"
"97350",141,"Idanha","Linn County"
"97033",132,"Kent","Sherman County"
"97640",130,"Summer Lake","Lake County"
"97625",124,"Dairy","Klamath County"
"97884",122,"Unity","Baker County"
"97751",118,"Paulina","Crook County"
"97342",116,"Detroit","Marion County"
"97637",115,"Plush","Lake County"
"97736",112,"Frenchglen","Harney County"
"97144",111,"Timber","Washington County"
"97905",104,"Durkee","Baker County"
"97125",88,"Manning","Washington County"
"97384",86,"Mehama","Marion County"
"97842",85,"Imnaha","Wallowa County"
"97840",82,"Oxbow","Baker County"
"97336",78,"Crawfordsville","Linn County"
"97329",68,"Cascadia","Linn County"
"97710",68,"Fields","Harney County"
"97758",67,"Riley","Harney County"
"97712",58,"Brothers","Deschutes County"
"97911",52,"Juntura","Malheur County"
"97837",50,"Hereford","Baker County"
"97917",41,"Riverside","Malheur County"
"97620",39,"Adel","Lake County"
"97711",38,"Ashwood","Jefferson County"
"97817",37,"Bates","Grant County"
"97639",33,"Sprague River","Klamath County"
"97722",33,"Diamond","Harney County"
"97494",28,"Wilbur","Douglas County"
"97920",28,"Westfall","Malheur County"
"97902",27,"Arock","Malheur County"
"97908",25,"Ironside","Malheur County"
"97903",24,"Brogan","Malheur County"
"97909",22,"Jamieson","Malheur County"
"97057",18,"Shaniko","Wasco County"
"97819",18,"Bridgeport","Baker County"
